594-604nm,620-645nm,650-670nm,850nm,Sleep
14694.876185558795,19840.46365784088,9929.681986734127,19053.739835138596,0.0
12789.183693869008,19149.922991019674,8226.010155938739,19761.90134818151,0.0
14589.243978425848,14631.656492993388,4933.677044228766,18096.311934900976,1.0
13174.11968377509,22558.67857082009,6988.627443417141,16928.55265905105,0.0
11769.245244619913,21755.01867690212,8145.911774487374,18071.884035241997,0.0
12665.347670780257,19525.191215191444,8650.143413069029,18150.12317688171,0.0
15972.697034584773,15114.272061435651,5859.039898302937,16181.244107631062,1.0
13389.107899964445,19566.757535335517,8899.148504396127,16840.694282407803,0.0
12531.113573392306,19355.13342259038,7500.2784820538345,16580.47229277222,0.0
15088.622279958356,20613.90078139365,8332.673296830499,18226.297344786977,0.0
14784.711430184452,18663.799335198477,7162.914104494058,18446.62939188651,0.0
15409.967717146726,17375.521972382332,4463.123408183748,17125.77256775113,1.0
14650.36101050851,14525.740567957671,4380.017772128336,16366.202333208012,1.0
14023.608403696146,19891.152130376027,7648.5141525359595,18818.388633456467,0.0
14073.919210666028,18450.961090382,8490.735811959717,18982.60661342201,0.0
12539.556727796915,20128.084911156675,7861.2156854003815,18094.50599302899,0.0
13500.454051503499,18915.047942428562,9049.96686908578,17977.233911763295,0.0
11857.400628776104,19484.762652938425,8079.805173942106,17781.20430515598,0.0
14288.170948341653,17264.779732324783,5456.735242744699,17505.406659576893,1.0
13451.983795081716,19181.142487826157,7681.054355982678,18156.622495975793,0.0
13795.925276567043,13889.151868885696,5610.4635697203485,18799.274085396424,1.0
16073.799469232848,15757.744779404122,4866.216340751942,17251.456956276972,1.0
14579.593107829096,19482.54911414538,8645.800586849286,17565.153271777788,0.0
13625.214994890643,20830.098224703535,8076.701630134593,18839.349655053764,0.0
14531.81491946118,14334.622583034992,5594.7048410230855,16429.585390307042,1.0
14597.937736735197,13228.562199279324,4953.805881736826,16389.199735605638,1.0
11995.12608649802,19987.931900867345,7437.354236819243,18445.072161452354,0.0
14772.406599816017,14268.528517174265,4372.633316921423,16050.206804363072,1.0
13325.005231106572,19565.7086641787,8160.542908922683,19289.618476783085,0.0
