594-604nm,620-645nm,650-670nm,850nm,Sleep
12211.157996782773,22662.56105917035,8427.82230246621,17800.773852480466,0.0
14267.805261856722,14624.68897376045,4908.832949182667,16514.79060794613,1.0
15119.815898357918,15073.28671998489,5471.050828768164,17981.04817014909,1.0
13864.511023198334,20591.007817513484,8738.498972505617,17383.08007693805,0.0
16047.963855234293,16014.63920918564,4028.441189922061,17216.239225773374,1.0
12591.675573392344,19501.48201204675,7405.340534490843,16611.161060727314,0.0
16446.232544787483,15467.032536754545,4595.036870600786,16634.316591389812,1.0
16228.55784755139,14136.035898676811,4157.076489346423,16613.535664383548,1.0
13598.653371435094,19993.5392609664,8594.431061490188,18926.120694399666,0.0
13945.719784931227,20766.899944582983,6873.319808885623,18189.792014256356,0.0
15892.757526823138,21612.516032650565,8984.86020190059,18355.343592882236,0.0
13974.580546562693,16962.88093891794,5158.296618107559,15913.697519741007,1.0
13561.879016154257,14582.090803473118,4714.402239568094,18453.816372849502,1.0
14719.544429314394,16367.742975395991,5351.463768506776,16516.696730845168,1.0
15486.327478723359,15101.087801764092,4517.041206518865,17400.492268373957,1.0
13647.542344514313,19532.913115540294,8834.644344213937,17909.223032340804,0.0
14732.521299593729,15511.69123897352,5083.488818268201,17239.25749009413,1.0
14642.258272061428,13948.664343510238,4890.528633083789,17070.38788478248,1.0
13541.752187476835,21823.96726355984,7137.196576578577,17057.774914769296,0.0
11856.477700434623,20675.475024066724,7051.868190833132,18065.48735845486,0.0
12227.195935029446,18443.167496776605,7726.273773629826,18808.07711665955,0.0
12762.27258462774,20118.13022976064,7405.478217447687,18522.973065213453,0.0
14322.569509952045,16051.651751105943,4841.951457106777,15267.280860081884,1.0
13247.449048907869,19867.805951719376,8494.008509943567,18506.744322581613,0.0
13936.832203504522,13429.181451717131,4459.5738521684325,17099.840417677005,1.0
11574.67154051053,18470.956709429152,7707.117363635977,17847.230173281907,0.0
12578.467059323591,19342.01878572067,8351.422769795337,18526.992860741793,0.0
14028.562771294555,20935.42763144813,7670.275347434392,20875.810694832286,0.0
15052.464706592771,15452.142157076956,5108.571169481703,17079.577295107163,1.0
13115.07902068942,19834.408957697426,8809.735120841708,19686.237088931317,0.0
14689.746327578283,15623.979166040745,5303.95357034204,16066.907783298113,1.0
13743.069926369115,23237.04835503335,6408.99903671647,16349.332255202353,0.0
