594-604nm,620-645nm,650-670nm,850nm,Sleep
13596.610829805904,22586.522609122523,8344.95863587621,18483.440223278245,0.0
13394.684834720627,16083.377435393544,5020.599005011464,19172.637604963547,1.0
15615.990143999159,14673.157034802682,5501.630386586741,17404.19101649499,1.0
13825.479962408162,14705.690128684175,5616.758861414641,17357.05976552026,1.0
16005.44201738605,15548.800835808695,4861.4734867063335,17632.62671868791,1.0
12468.13256198583,17602.374669585057,7888.08031307862,15634.370820996948,0.0
14028.183386887093,13749.478909727262,5207.685701725356,17510.456990996903,1.0
12804.264405634322,21499.231617073263,8645.50902003351,17244.326402669787,0.0
16258.806954349257,14236.023206243535,4669.151874872246,17911.67162221122,1.0
12595.816570792795,20589.348073736637,7646.939353193408,17539.951406788372,0.0
14525.316921672966,20167.0185589684,8330.702291183607,19641.558242306517,0.0
15757.77736795204,16905.440926854077,5541.40426479611,16776.884548572987,1.0
12601.217389867381,20533.05707899141,7795.582474938046,17880.25601347046,0.0
12973.259718548312,18751.57319820021,8540.987595985276,18686.379628213486,0.0
13254.541089928824,19459.812821257252,8190.834964172025,17969.962869743806,0.0
13907.95242789314,16510.442268216077,4192.982149077681,17036.81340742742,1.0
15622.696064576594,12475.875029784098,4381.11342711241,19635.56247461421,1.0
17957.361210879226,13853.30042953856,4673.692435284002,15267.686774113188,1.0
12912.238038357988,20091.984101124424,6173.957648337374,16988.76404465449,0.0
13286.383925121816,20758.393409565528,7385.3033022285945,19147.217940574817,0.0
14688.728672372376,15029.632667356596,5220.187538944002,17700.794889519813,1.0
15958.846858639416,14881.9825450389,5827.963909289276,18530.305182356245,1.0
13870.635492697198,15207.114729048064,5763.535662605149,18033.59785747974,1.0
12261.183508261489,21411.595106266894,6599.371001534259,17896.139943644896,0.0
13341.39991605135,20347.954298451703,7878.623971697304,18612.07564642124,0.0
15448.592250336163,14973.162764360623,4209.935005754868,16187.509668689127,1.0
12387.849066353854,19630.33269954085,6789.797598050353,18022.09257656569,0.0
14586.708191092413,15108.381891523142,5220.686449749982,17880.43120696956,1.0
13317.448366361108,20060.102744553726,8777.708687302531,19847.419779797867,0.0
13747.054242739228,18798.631802733515,7797.414828211922,20341.383156450895,0.0
15293.661687660224,15502.250794609165,5122.353903598045,17340.684422543203,1.0
15552.897786876301,16160.155263273646,3207.2635863762,16902.84593208404,1.0
12786.86798790175,21832.277835613877,7713.97694083644,18011.802293070792,0.0
15638.607686199039,16517.598222382534,5445.8628443695325,17057.89090223872,1.0
13993.487132425294,14745.052611506628,4227.1753499965225,16425.2039887777,1.0
