594-604nm,620-645nm,650-670nm,850nm,Sleep
14131.130775244264,19533.3086508955,8322.898669836903,18160.044560217237,0.0
14470.377922179578,19180.636231013435,8907.544554665787,18176.85247924874,0.0
12251.164676879174,20720.753432054014,7363.214088948967,17081.64908291382,0.0
13525.88591177894,19993.065622079892,8300.474190541738,16822.091270275138,0.0
13901.779383214527,18455.828158193115,8871.868764053343,17271.14261193685,0.0
12998.354359985675,19991.553554459864,8423.06709141731,20330.091208495134,0.0
15186.736278348768,15576.676189894051,5578.697319402554,16041.019555960089,1.0
12609.713862881299,15931.113352477794,3885.403969481581,20931.73421141003,1.0
13632.798427141788,19824.79520730189,8743.096658896633,18604.588156394442,0.0
13939.601685022211,19136.448980786947,7241.981298213371,17328.78257525764,0.0
13003.895337391577,20131.252507832993,7987.588102861664,17283.62337618564,0.0
12838.598311164034,18519.807680006994,7128.22811372957,16913.45033689363,0.0
14083.044920096017,20626.265063370174,8878.992339481962,17689.365995470715,0.0
13361.727867917341,20508.200938636044,7494.414476539811,17446.590373808707,0.0
14206.818407404375,19826.43136503501,7155.331977185188,16981.669159670702,0.0
11579.098707577898,19275.673173846044,8753.866965802015,15080.129172641757,0.0
13908.475242252382,20295.888259980296,7456.2220094954955,18186.0018782841,0.0
14101.254394571548,12220.59912837509,5831.364085558408,17039.091326636226,1.0
15490.975749033387,17032.158314132517,4595.784574415369,16281.265974331522,1.0
12958.692685767286,21238.64986337373,8498.11429813628,20969.050088699092,0.0
15520.962962140393,15784.378977555081,5063.542813974185,16800.461214134244,1.0
14512.631147254533,15765.4416775795,4978.352503217508,16663.028075117458,1.0
15238.189374225365,16105.101075456945,4946.279747757204,17333.827830836723,1.0
14038.584287159954,19531.482337243553,8299.934726332696,16879.215986986488,0.0
14460.470736600173,15257.365465877925,5601.550760852432,17247.42340133515,1.0
12230.640173109065,18576.723084713256,8731.553278722673,17953.293977979996,0.0
12972.952640927924,19255.61815520666,8587.883075438367,19053.118253185705,0.0
14150.817005514818,21000.84391763441,8001.988780493444,18207.2045065299,0.0
10910.881893181975,21087.02965002338,8887.58644281464,17511.212304087418,0.0
12502.919219021776,19567.714945564283,7281.860101973226,19378.84507563613,0.0
12538.441936647014,19963.337324889733,6897.986109579948,18665.553417107643,0.0
15662.128343693996,14664.028316994945,4732.360862890851,16317.485833293847,1.0
13549.84122282352,16234.162961484042,5566.185813311103,16582.64173535539,1.0
15008.995655975797,20091.276368367213,7867.573320127542,15684.961082180464,0.0
15292.64444856769,15107.342108717148,4198.3764575669775,18978.75893798748,1.0
16362.473520237198,12896.501998514448,2826.979024369259,15789.04081127849,1.0
13843.319596987227,19774.88081474906,7875.819826509085,18488.35380560623,0.0
14667.415459518408,14565.251781325389,5343.54585581526,19689.97221698751,1.0
14219.24580580892,15145.69783338962,5296.138575195489,16363.291849914282,1.0
15990.858810110274,16328.034728310371,5230.121904979551,19598.04352132867,1.0
15367.609569725366,15060.5678133007,5718.98133009533,16485.84776889343,1.0
13059.189907101116,18987.306689624045,8836.463365617423,18845.099389225674,0.0
15269.270187883718,14317.9170434355,5379.824672430705,17435.11765828852,1.0
13034.061434600144,21415.469126903055,7868.157035181138,17449.2992202067,0.0
15314.346721709871,15367.32758409355,6610.409887873362,16628.231028014423,1.0
14263.763657974509,20487.158043608455,8481.614276961354,17329.647790991323,0.0
14099.421882931474,19927.009007061664,7362.205715964807,17802.268430161115,0.0
13488.041161321125,20662.320832862104,9117.460841764514,16728.329157818425,0.0
16777.298128715636,16187.365082426451,5316.4565417954545,15578.682257142658,1.0
13281.565621109867,21756.160145912414,7696.468960743054,18686.646096472054,0.0
15085.167806468793,15111.265222795482,5897.474610713913,16150.195444672547,1.0
11493.597012337872,20391.993595392774,8741.388930276878,19070.21017728078,0.0
14404.006910967388,15187.907639513365,5433.284597968819,15853.51593426105,1.0
